time,alb_DY2,lat_DY2,lon_DY2,cloud_DY2
2022-06-16,0.8247,66.48232,-46.293299,0.0261
2022-06-17,0.8814,66.482303,-46.293306,0.8464
2022-06-18,0.879,66.482311,-46.293297,0.9461
2022-06-19,0.8523,66.482318,-46.293307,0.903
2022-06-20,0.8892,66.482314,-46.293309,0.9226
2022-06-21,0.8649,66.482311,-46.29331,0.8842
2022-06-22,0.9034,66.482311,-46.29331,0.8871
2022-06-23,0.8207,66.482313,-46.293315,0.6096
2022-06-24,0.85,66.482309,-46.293312,0.515
2022-06-25,0.8143,66.482312,-46.29332,0.2447
2022-06-26,0.8505,66.482304,-46.293319,0.6095
2022-06-27,0.8654,66.482312,-46.293325,0.8092
2022-06-28,0.8311,66.482312,-46.293325,0.5844
2022-06-29,0.8707,66.482309,-46.29333,0.9645
2022-06-30,0.8478,66.482306,-46.293321,0.675
2022-07-01,0.8787,66.482308,-46.293318,0.7677
2022-07-02,0.8488,66.482305,-46.29333,0.9498
2022-07-03,0.807,66.482308,-46.293324,0.3926
2022-07-04,0.7897,66.482323,-46.293321,0.4375
2022-07-05,0.7723,66.482332,-46.293314,0.5372
2022-07-06,0.7754,66.482323,-46.293321,0.4742
2022-07-07,0.7968,66.482327,-46.293327,0.8906
2022-07-08,0.7917,66.482324,-46.293324,0.3669
2022-07-09,0.8148,66.482314,-46.293333,0.4808
2022-07-10,0.8272,66.482324,-46.293343,0.9043
2022-07-11,0.794,66.482318,-46.29333,0.6145
2022-07-12,0.7733,66.482319,-46.293342,0.611
2022-07-13,0.8452,66.482314,-46.293339,0.8965
2022-07-14,0.7867,66.482319,-46.293348,0.1332
2022-07-15,0.788,66.482316,-46.293351,0.6454
2022-07-16,0.8117,66.482316,-46.293339,0.7411
2022-07-17,0.7736,66.482316,-46.29334,0.5011
2022-07-18,0.8073,66.482319,-46.293341,0.647
2022-07-19,0.8123,66.482321,-46.293345,0.5749
2022-07-20,0.757,66.482322,-46.293337,0.4553
2022-07-21,0.7769,66.482334,-46.293341,0.8004
2022-07-22,0.7202,66.482337,-46.293346,0.0911
2022-07-23,0.7663,66.482333,-46.293349,0.6821
2022-07-24,0.7959,66.482334,-46.293348,0.4605
2022-07-25,0.7935,66.482334,-46.293342,0.4813
2022-07-26,0.865,66.482336,-46.293353,0.9041
2022-07-27,0.8724,66.482333,-46.29334,0.8865
2022-07-28,0.8347,66.482331,-46.293356,0.4802
2022-07-29,0.8635,66.482327,-46.293357,0.6943
2022-07-30,0.8425,66.482326,-46.293349,0.9496
2022-07-31,0.8107,66.48233,-46.293352,0.3337
2022-08-01,0.7886,66.482326,-46.293363,0.1564
2022-08-02,0.9089,66.482318,-46.293373,0.7352
2022-08-03,0.8993,66.482319,-46.293372,0.6067
2022-08-04,0.8612,66.482326,-46.293372,0.9487
2022-08-05,0.8746,66.482329,-46.293378,0.8949
2022-08-06,0.8234,66.48232,-46.293375,0.6902
2022-08-07,0.8207,66.482321,-46.293378,0.7309
2022-08-08,0.8532,66.482316,-46.29338,0.8311
2022-08-09,0.8582,66.482321,-46.293379,0.8961
2022-08-10,0.8626,66.482323,-46.293382,0.9174
2022-08-11,0.8917,66.482318,-46.293389,0.9176
2022-08-12,0.8442,66.482316,-46.293385,0.7729
2022-08-13,0.8104,66.482319,-46.293384,0.323
2022-08-14,0.8777,66.482321,-46.293394,0.8192
2022-08-15,0.8557,66.482322,-46.293385,0.8019
2022-08-16,0.875,66.482323,-46.293398,0.8822
2022-08-17,0.8848,66.482322,-46.293397,0.8411
2022-08-18,0.8693,66.482324,-46.293396,0.8692
2022-08-19,0.7899,66.482323,-46.293411,0.5016
2022-08-20,0.8965,66.482319,-46.293406,0.8482
2022-08-21,0.8478,66.482327,-46.293398,0.8747
2022-08-22,0.8642,66.482322,-46.2934,0.7872
2022-08-23,0.8536,66.482322,-46.293403,0.7766
2022-08-24,0.8263,66.482319,-46.293406,0.3808
2022-08-25,0.834,66.482324,-46.2934,0.6631
2022-08-26,0.8778,66.482322,-46.293399,0.8464
2022-08-27,0.8368,66.482324,-46.293404,0.6878
2022-08-28,0.8153,66.482324,-46.293402,0.4848
2022-08-29,0.8677,66.482323,-46.293421,0.5716
2022-08-30,0.8295,66.482328,-46.293408,0.4992
2022-08-31,0.8687,66.482323,-46.293403,0.8453
2022-09-01,0.7642,66.482321,-46.29342,0.6699
2022-09-02,0.8564,66.482345,-46.29341,0.9852
2022-09-03,0.8438,66.48235,-46.29342,0.9691
2022-09-04,0.806,66.482346,-46.293416,0.862
2022-09-05,0.7814,66.482344,-46.293405,0.6824
2022-09-06,0.8063,66.482341,-46.293416,0.7142
2022-09-07,0.957,66.482332,-46.293428,0.8493
2022-09-08,0.9132,66.482334,-46.293427,0.6542
2022-09-09,0.8518,66.48233,-46.293435,0.8514
2022-09-10,0.841,66.482332,-46.293425,0.4486
2022-09-11,0.8888,66.482332,-46.29344,0.9405
2022-09-12,0.8838,66.48233,-46.293432,0.9355
2022-09-13,0.8511,66.482339,-46.293448,0.681
2022-09-14,0.881,66.482328,-46.293436,0.9122
2022-09-15,0.8989,66.482338,-46.293453,0.9516
2022-09-16,0.8889,66.482328,-46.293461,0.6696
2022-09-17,0.8631,66.482334,-46.29346,0.9679
2022-09-18,0.8137,66.482333,-46.293454,0.6738
2022-09-19,0.8098,66.482335,-46.293448,0.2953
2022-09-20,0.8775,66.48233,-46.293463,0.8332
2022-09-21,0.85,66.482328,-46.293461,0.9206
2022-09-22,0.8849,66.482336,-46.293466,0.9169
2022-09-23,0.8712,66.482347,-46.293465,0.9415
2022-09-24,0.8633,66.482344,-46.29348,0.927
2022-09-25,0.843,66.48234,-46.29347,0.7109
2022-09-26,0.8818,66.482357,-46.293456,0.9011
2022-09-27,0.8649,66.482353,-46.293472,0.787
2022-09-28,0.9675,66.482334,-46.293474,0.9528
2023-05-01,0.7733,66.482377,-46.293859,0.0878
2023-05-02,0.7735,66.482384,-46.29385,0.1223
2023-05-03,0.8176,66.482388,-46.293859,0.6526
2023-05-04,0.8359,66.482391,-46.293862,0.8888
2023-05-05,0.8315,66.482384,-46.293867,0.6059
2023-05-06,0.847,66.482382,-46.293862,0.7531
2023-05-07,0.7902,66.482387,-46.293838,0.5548
2023-05-08,0.7919,66.482391,-46.293857,0.4115
2023-05-09,0.8208,66.482384,-46.293869,0.7795
2023-05-10,0.7902,66.482381,-46.293882,0.7007
2023-05-11,0.8269,66.482385,-46.29388,0.5845
2023-05-12,0.7771,66.482389,-46.293866,0.3132
2023-05-13,0.8411,66.482389,-46.293863,0.7907
2023-05-14,0.8162,66.48239,-46.293881,0.6752
2023-05-15,0.7839,66.482381,-46.293885,0.4658
2023-05-16,0.8586,66.482387,-46.293888,0.7385
2023-05-17,0.8338,66.482395,-46.293862,0.5527
2023-05-18,0.8106,66.482388,-46.293878,0.4735
2023-05-19,0.87,66.482393,-46.293882,0.8808
2023-05-20,0.8287,66.482388,-46.293887,0.681
2023-05-21,0.8359,66.482391,-46.293902,0.7315
2023-05-22,0.7996,66.482382,-46.2939,0.5704
2023-05-23,0.8609,66.482383,-46.293896,0.8466
2023-05-24,0.7715,66.482391,-46.293886,0.3698
2023-05-25,0.8465,66.482391,-46.2939,0.4735
2023-05-26,0.8742,66.482385,-46.293897,0.8066
2023-05-27,0.8427,66.48239,-46.293911,0.853
2023-05-28,0.789,66.482391,-46.293905,0.2856
2023-05-29,0.7806,66.482375,-46.293916,0.3357
2023-05-30,0.8533,66.482397,-46.293909,0.8842
2023-05-31,0.8521,66.482393,-46.293902,0.7701
2023-06-01,0.8608,66.482397,-46.293916,0.8833
2023-06-02,0.8377,66.482392,-46.293911,0.6618
2023-06-03,0.8579,66.482394,-46.293922,0.821
2023-06-04,0.8479,66.482393,-46.293911,0.855
2023-06-05,0.8307,66.482395,-46.293906,0.7949
2023-06-06,0.8681,66.482398,-46.293922,0.8684
2023-06-07,0.8402,66.482395,-46.293917,0.7316
2023-06-08,0.8267,66.482403,-46.293934,0.7895
2023-06-09,0.8611,66.482399,-46.293927,0.9155
2023-06-10,0.8613,66.482393,-46.293913,0.7973
2023-06-11,0.8778,66.482403,-46.293926,0.9302
2023-06-12,0.8802,66.482401,-46.293921,0.8669
2023-06-13,0.8703,66.482397,-46.293929,0.8033
2023-06-14,0.8806,66.482398,-46.293954,0.7087
2023-06-15,0.9754,66.482425,-46.293973,0.3897
2023-06-17,0.9828,66.482423,-46.293933,0.1108
2023-06-18,0.9816,66.482418,-46.293967,0.3583
2023-06-19,0.9888,66.482421,-46.293968,0.5733
2023-06-21,0.8988,66.482417,-46.293972,0.9018
2023-06-22,0.8618,66.482423,-46.29397,0.7125
2023-06-23,0.8315,66.482424,-46.293973,0.3341
2023-06-24,0.8518,66.482424,-46.294,0.6835
2023-06-25,0.861,66.482431,-46.293988,0.5925
2023-06-26,0.8407,66.482438,-46.293963,0.589
2023-06-27,0.8782,66.482434,-46.293967,0.8843
2023-06-28,0.8591,66.482423,-46.293996,0.6722
2023-06-29,0.8743,66.482433,-46.293998,0.7502
2023-06-30,0.8847,66.482434,-46.293983,0.8278
2023-07-01,0.8972,66.482425,-46.293984,0.8564
2023-07-02,0.8286,66.482427,-46.29399,0.303
2023-07-03,0.8313,66.482429,-46.293979,0.446
2023-07-04,0.9126,66.482434,-46.294006,0.9185
2023-07-05,0.8942,66.48243,-46.293995,0.8658
2023-07-06,0.8651,66.482439,-46.293984,0.9839
2023-07-07,0.7312,66.482436,-46.293935,0.5669
2023-07-08,0.7467,66.482436,-46.293934,0.6281
2023-07-09,0.756,66.482438,-46.29394,0.5931
2023-07-10,0.7369,66.482437,-46.293948,0.6348
2023-07-11,0.8197,66.482442,-46.293952,0.9946
2023-07-12,0.694,66.482438,-46.293956,0.4963
2023-07-13,0.7439,66.482437,-46.293953,0.6593
2023-07-14,0.8161,66.482437,-46.293937,0.9167
2023-07-15,0.8356,66.48244,-46.293952,0.9335
2023-07-16,0.8172,66.482447,-46.293945,0.9585
2023-07-17,0.8049,66.482438,-46.293964,0.9631
2023-07-18,0.803,66.482442,-46.293951,0.9905
2023-07-19,0.7251,66.482442,-46.293949,0.8225
2023-07-20,0.7789,66.48244,-46.293972,0.896
2023-07-21,0.873,66.482446,-46.293953,0.9338
2023-07-22,0.7891,66.482448,-46.293956,0.7115
2023-07-23,0.8096,66.482441,-46.293959,0.8294
2023-07-24,0.811,66.482439,-46.293962,0.6837
2023-07-25,0.7996,66.482445,-46.293957,0.4667
2023-07-26,0.7783,66.482446,-46.293964,0.1061
2023-07-27,0.795,66.482443,-46.293974,0.6088
2023-07-28,0.805,66.482442,-46.293972,0.5962
2023-07-29,0.8847,66.482452,-46.293962,0.9346
2023-07-30,0.8746,66.482449,-46.293971,0.8659
2023-07-31,0.8234,66.482462,-46.293947,0.6731
2023-08-01,0.9063,66.482453,-46.294145,0.9169
2023-08-02,0.8605,66.482447,-46.293972,0.8128
2023-08-03,0.8738,66.482452,-46.293977,0.8615
2023-08-04,0.8799,66.482449,-46.293976,0.6513
2023-08-05,0.8652,66.482442,-46.293977,0.8877
2023-08-06,0.8039,66.482441,-46.293984,0.3338
2023-08-07,0.7947,66.482449,-46.293981,0.26
2023-08-08,0.8159,66.482447,-46.293995,0.3575
2023-08-09,0.8803,66.482448,-46.293999,0.8358
2023-08-10,0.8917,66.48245,-46.293992,0.8396
2023-08-11,0.8398,66.482455,-46.293992,0.595
2023-08-12,0.7961,66.482447,-46.293988,0.2106
2023-08-13,0.8322,66.482442,-46.293969,0.7601
2023-08-14,0.7934,66.48245,-46.294011,0.4788
2023-08-15,0.7792,66.482443,-46.294009,0.23
2023-08-16,0.7784,66.482442,-46.294004,0.3933
2023-08-17,0.8269,66.482437,-46.293997,0.3524
2023-08-18,0.7919,66.482449,-46.294006,0.2722
2023-08-19,0.8138,66.482446,-46.294036,0.6287
2023-08-20,0.8326,66.482453,-46.294145,0.9945
2023-08-21,0.7206,66.482453,-46.294004,0.387
2023-08-22,0.7167,66.482443,-46.294035,0.1512
2023-08-23,0.8436,66.482453,-46.294145,0.824
2023-08-24,0.8877,66.482453,-46.294145,0.934
2023-08-25,0.8232,66.482454,-46.293996,0.3875
2023-08-26,0.8499,66.482447,-46.294016,0.6572
2023-08-27,0.8243,66.48245,-46.294016,0.8065
2023-08-28,0.9093,66.482453,-46.294018,0.9236
2023-08-29,0.863,66.482451,-46.294037,0.7479
2023-08-30,0.881,66.482459,-46.294023,0.7978
2023-08-31,0.9315,66.482457,-46.294027,0.6821
2023-09-01,0.9118,66.482452,-46.294048,0.7272
2023-09-02,0.9066,66.482457,-46.294037,0.9438
2023-09-03,0.8711,66.482465,-46.294056,0.862
2023-09-04,0.9275,66.482453,-46.294068,0.8402
2023-09-05,0.9237,66.482428,-46.294096,0.7967
2023-09-06,0.9425,66.482456,-46.294074,0.8934
2023-09-07,0.9302,66.482452,-46.294075,0.8877
2023-09-08,0.9386,66.482447,-46.294093,0.9031
2023-09-09,0.7355,66.482454,-46.294088,0.5058
2023-09-10,0.7986,66.482451,-46.29409,0.3865
2023-09-11,0.8765,66.482446,-46.294098,0.4636
2023-09-13,0.8713,66.482447,-46.294088,0.8258
2023-09-14,0.8809,66.482448,-46.294113,0.7208
2023-09-15,0.9103,66.482461,-46.294085,0.8038
2023-09-16,0.9043,66.482453,-46.294092,0.8714
2023-09-17,0.8973,66.482451,-46.294107,0.7949
2023-09-19,0.8633,66.482457,-46.294118,0.5355
2023-09-20,0.8256,66.48244,-46.294118,0.4821
2023-09-21,0.8718,66.482458,-46.294116,0.3688
2023-09-22,0.8379,66.482452,-46.294122,0.6316
2023-09-23,0.7741,66.482455,-46.294131,0.2766
2023-09-24,0.8405,66.482456,-46.294125,0.3005
2023-09-25,0.9064,66.482449,-46.294132,0.9483
2023-09-26,0.934,66.482448,-46.294123,0.8342
2023-09-27,0.7657,66.482447,-46.294139,0.4232
2023-09-28,0.7238,66.482456,-46.294117,0.2909
2023-09-29,0.8886,66.482449,-46.294141,0.6897
