time,alb_KPC_L,lat_KPC_L,lon_KPC_L,cloud_KPC_L
2017-05-01,0.8068,79.910885,-24.082597,0.2233
2017-05-02,0.8002,79.910884,-24.08261,0.3545
2017-05-03,0.8013,79.910885,-24.08261,0.4668
2017-05-04,0.7767,79.910886,-24.082618,0.489
2017-05-05,0.8002,79.910886,-24.082624,0.2193
2017-05-06,0.7894,79.910887,-24.082607,0.3353
2017-05-07,0.8002,79.910889,-24.082608,0.2033
2017-05-08,0.7986,79.910887,-24.082608,0.6038
2017-05-09,0.7834,79.910886,-24.082605,0.6972
2017-05-10,0.7898,79.910889,-24.082607,0.2218
2017-05-11,0.7898,79.910886,-24.082608,0.2414
2017-05-12,0.7871,79.910886,-24.082605,0.1609
2017-05-13,0.7851,79.910886,-24.082607,0.1972
2017-05-14,0.7686,79.910885,-24.08261,0.3815
2017-05-15,0.7855,79.910888,-24.082608,0.1734
2017-05-16,0.7829,79.910884,-24.082597,0.2114
2017-05-17,0.7808,79.910886,-24.082597,0.266
2017-05-18,0.7998,79.910887,-24.082602,0.6326
2017-05-19,0.8319,79.910888,-24.082604,0.5678
2017-05-20,0.8072,79.910887,-24.082603,0.446
2017-05-21,0.8184,79.910888,-24.082599,0.1656
2017-05-22,0.815,79.910888,-24.082595,0.1523
2017-05-23,0.8055,79.910889,-24.082593,0.2404
2017-05-24,0.7959,79.910887,-24.082599,0.1916
2017-05-25,0.7895,79.910888,-24.082598,0.1592
2017-05-26,0.7913,79.910885,-24.082593,0.1089
2017-05-27,0.7859,79.910887,-24.082587,0.2305
2017-05-28,0.804,79.910885,-24.0826,0.5839
2017-05-29,0.785,79.910889,-24.082605,0.42
2017-05-30,0.7849,79.910887,-24.082587,0.3771
2017-05-31,0.7839,79.910884,-24.082592,0.1655
2017-06-01,0.7751,79.910887,-24.082595,0.12
2017-06-02,0.7548,79.910886,-24.082582,0.22
2017-06-03,0.7484,79.910888,-24.082592,0.1325
2017-06-04,0.7301,79.910887,-24.08258,0.1487
2017-06-05,0.713,79.910887,-24.082576,0.111
2017-06-06,0.7071,79.910885,-24.082582,0.1486
2017-06-07,0.7005,79.910887,-24.082586,0.1742
2017-06-08,0.7134,79.910889,-24.082591,0.5746
2017-06-09,0.6832,79.910888,-24.082591,0.7751
2017-06-10,0.6651,79.910887,-24.08259,0.8926
2017-06-11,0.6476,79.910888,-24.082587,0.9147
2017-06-12,0.6134,79.910888,-24.082592,0.5194
2017-06-13,0.6011,79.910887,-24.082579,0.7164
2017-06-14,0.5413,79.910888,-24.08258,0.5306
2017-06-15,0.5216,79.910887,-24.082581,0.4392
2017-06-16,0.7972,79.910885,-24.082581,0.8215
2017-06-17,0.7828,79.910886,-24.082584,0.2344
2017-06-18,0.751,79.910887,-24.082575,0.1224
2017-06-19,0.6741,79.910888,-24.082572,0.1051
2017-06-20,0.5963,79.910887,-24.082563,0.2905
2017-06-21,0.5237,79.910887,-24.082572,0.2434
2017-06-22,0.4743,79.910891,-24.082574,0.5507
2017-06-23,0.5111,79.910888,-24.082564,0.133
2017-06-24,0.5009,79.910887,-24.082571,0.1173
2017-06-25,0.4664,79.910888,-24.082565,0.1586
2017-06-26,0.4711,79.910888,-24.08257,0.3251
2017-06-27,0.4982,79.910885,-24.08256,0.3982
2017-06-28,0.5397,79.910884,-24.082573,0.0958
2017-06-29,0.671,79.910885,-24.082569,0.6205
2017-06-30,0.7509,79.910886,-24.082565,0.7479
2017-07-01,0.7361,79.910885,-24.082564,0.1787
2017-07-02,0.7106,79.910887,-24.082565,0.1428
2017-07-03,0.6026,79.910887,-24.08256,0.4003
2017-07-04,0.4798,79.910886,-24.082554,0.5326
2017-07-05,0.4411,79.91089,-24.082552,0.4508
2017-07-06,0.4341,79.910888,-24.082554,0.3216
2017-07-07,0.4198,79.910886,-24.082549,0.3805
2017-07-08,0.4154,79.910891,-24.082544,0.7471
2017-07-09,0.4373,79.910889,-24.082544,0.2495
2017-07-10,0.4267,79.910886,-24.082539,0.1033
2017-07-11,0.4326,79.910884,-24.082533,0.1227
2017-07-12,0.4583,79.910886,-24.082543,0.127
2017-07-13,0.4655,79.910886,-24.082537,0.149
2017-07-14,0.4367,79.910889,-24.082544,0.1199
2017-07-15,0.4461,79.910886,-24.082534,0.1604
2017-07-16,0.4451,79.910885,-24.082537,0.334
2017-07-17,0.4151,79.910886,-24.08254,0.7051
2017-07-18,0.3947,79.910888,-24.082531,0.8735
2017-07-19,0.4117,79.910886,-24.082533,0.8476
2017-07-20,0.41,79.910886,-24.082518,0.1271
2017-07-21,0.4305,79.910884,-24.082522,0.596
2017-07-22,0.397,79.910884,-24.082512,0.6925
2017-07-23,0.381,79.910886,-24.082516,0.0867
2017-07-24,0.3576,79.910886,-24.082521,0.1599
2017-07-25,0.3972,79.910887,-24.082517,0.1351
2017-07-26,0.3615,79.910885,-24.082515,0.0768
2017-07-27,0.3382,79.910887,-24.082505,0.3427
2017-07-28,0.3483,79.910886,-24.082496,0.2803
2017-07-29,0.3761,79.910886,-24.082502,0.3369
2017-07-30,0.3568,79.910889,-24.082494,0.222
2017-07-31,0.3584,79.910886,-24.082491,0.2356
2017-08-01,0.3606,79.910887,-24.082501,0.247
2017-08-02,0.3842,79.910887,-24.082503,0.2363
2017-08-03,0.4076,79.910888,-24.082497,0.0666
2017-08-04,0.3791,79.910889,-24.082486,0.7242
2017-08-05,0.4067,79.910888,-24.082474,0.7127
2017-08-06,0.4174,79.910886,-24.082474,0.6373
2017-08-07,0.4339,79.910881,-24.082463,0.2341
2017-08-08,0.4135,79.910885,-24.082485,0.5125
2017-08-09,0.4243,79.910886,-24.08248,0.4002
2017-08-10,0.4531,79.910886,-24.082481,0.1262
2017-08-11,0.4864,79.910885,-24.082476,0.3333
2017-08-12,0.4153,79.910889,-24.082483,0.2984
2017-08-13,0.4367,79.910886,-24.082469,0.2845
2017-08-14,0.416,79.910883,-24.082462,0.438
2017-08-15,0.6653,79.910884,-24.082471,0.5257
2017-08-16,0.6089,79.91088,-24.082457,0.1921
2017-08-17,0.5759,79.910884,-24.082467,0.2394
2017-08-18,0.5459,79.910885,-24.082468,0.4579
2017-08-19,0.5052,79.910886,-24.082472,0.5434
2017-08-20,0.4736,79.910884,-24.082463,0.3428
2017-08-21,0.3788,79.910884,-24.082466,0.6903
2017-08-22,0.4123,79.910886,-24.082461,0.394
2017-08-23,0.4511,79.910887,-24.082462,0.2886
2017-08-24,0.5305,79.910885,-24.082468,0.8376
2017-08-25,0.8564,79.910883,-24.082464,0.8771
2017-08-26,0.7473,79.910884,-24.082453,0.1854
2017-08-27,0.7577,79.910884,-24.082461,0.2014
2018-05-01,0.8659,79.910884,-24.082286,0.9994
2018-05-02,0.8394,79.910884,-24.082266,0.7154
2018-05-03,0.8863,79.910885,-24.082278,0.9673
2018-05-04,0.9097,79.910884,-24.082272,0.9456
2018-05-05,0.914,79.910884,-24.082271,0.9626
2018-05-06,0.8278,79.910884,-24.082266,0.9029
2018-05-07,0.7879,79.910885,-24.082263,0.4378
2018-05-08,0.8072,79.910885,-24.082274,0.3904
2018-05-09,0.8576,79.910884,-24.082266,0.7469
2018-05-10,0.7856,79.910884,-24.082266,0.1646
2018-05-11,0.7816,79.910885,-24.082277,0.268
2018-05-12,0.7989,79.910885,-24.082267,0.4939
2018-05-13,0.8006,79.910885,-24.082276,0.392
2018-05-14,0.7823,79.910882,-24.082266,0.4002
2018-05-15,0.9284,79.910883,-24.082257,0.9897
2018-05-16,0.5974,79.910884,-24.082256,0.9693
2018-05-17,0.8369,79.910885,-24.082248,0.91
2018-05-18,0.8636,79.910886,-24.082257,0.8858
2018-05-19,0.8779,79.910884,-24.082256,0.8995
2018-05-20,0.8572,79.910883,-24.082263,0.808
2018-05-21,0.9034,79.910885,-24.082271,0.898
2018-05-22,0.8447,79.910887,-24.082268,0.8302
2018-05-23,0.8584,79.910884,-24.082254,0.8137
2018-05-24,0.7942,79.910884,-24.082256,0.3454
2018-05-25,0.7815,79.910885,-24.082262,0.4413
2018-05-26,0.7838,79.910886,-24.082261,0.2634
2018-05-27,0.7869,79.910886,-24.08225,0.4742
2018-05-28,0.7835,79.910884,-24.082252,0.1361
2018-05-29,0.7825,79.910884,-24.082257,0.205
2018-05-30,0.771,79.910886,-24.08225,0.1921
2018-05-31,0.7742,79.910885,-24.08226,0.3284
2018-06-01,0.8319,79.910886,-24.082249,0.7296
2018-06-02,0.8137,79.910886,-24.082254,0.6075
2018-06-03,0.8258,79.910886,-24.082245,0.7425
2018-06-04,0.7956,79.910884,-24.082246,0.4871
2018-06-05,0.792,79.910887,-24.082261,0.2173
2018-06-06,0.7846,79.910887,-24.082246,0.2102
2018-06-07,0.7817,79.910885,-24.082254,0.1549
2018-06-08,0.7766,79.910886,-24.082245,0.1449
2018-06-09,0.7782,79.910886,-24.082248,0.2989
2018-06-10,0.7686,79.910886,-24.082247,0.2606
2018-06-11,0.7782,79.910886,-24.082258,0.1882
2018-06-12,0.8001,79.910885,-24.082246,0.4802
2018-06-13,0.8779,79.910882,-24.082245,0.9136
2018-06-14,0.8727,79.910886,-24.082243,0.8128
2018-06-15,0.8447,79.910884,-24.082251,0.7219
2018-06-16,0.8569,79.910886,-24.082241,0.7945
2018-06-17,0.8665,79.910883,-24.08224,0.7611
2018-06-18,0.8117,79.910886,-24.082247,0.7688
2018-06-19,0.7791,79.910884,-24.082239,0.5725
2018-06-20,0.7616,79.910887,-24.082244,0.132
2018-06-21,0.7333,79.910884,-24.082245,0.085
2018-06-22,0.7424,79.910884,-24.08224,0.2777
2018-06-23,0.8349,79.910884,-24.082235,0.9459
2018-06-24,0.7945,79.910883,-24.082242,0.7127
2018-06-25,0.7731,79.910883,-24.082225,0.6132
2018-06-26,0.7671,79.910885,-24.08223,0.8039
2018-06-27,0.7131,79.910884,-24.082235,0.5028
2018-06-28,0.6868,79.910885,-24.082235,0.2886
2018-06-29,0.6847,79.910887,-24.08224,0.1631
2018-06-30,0.7007,79.910886,-24.082243,0.2494
2018-07-01,0.6727,79.910885,-24.082227,0.4897
2018-07-02,0.6965,79.910885,-24.082226,0.305
2018-07-03,0.6774,79.910886,-24.082236,0.1913
2018-07-04,0.7101,79.910883,-24.082232,0.5487
2018-07-05,0.6848,79.910885,-24.082235,0.5358
2018-07-06,0.6718,79.910885,-24.082232,0.401
2018-07-07,0.7207,79.910885,-24.082229,0.8129
2018-07-08,0.6586,79.910884,-24.082219,0.7405
2018-07-09,0.6216,79.910884,-24.08223,0.0522
2018-07-10,0.5947,79.910884,-24.082234,0.2122
2018-07-11,0.5559,79.910888,-24.082233,0.1487
2018-07-12,0.5577,79.910884,-24.082216,0.0477
2018-07-13,0.5843,79.910884,-24.082223,0.098
2018-07-14,0.5864,79.910884,-24.082221,0.2233
2018-07-15,0.5778,79.910882,-24.082218,0.1038
2018-07-16,0.5934,79.910887,-24.082227,0.1072
2018-07-17,0.6059,79.910886,-24.082223,0.5534
2018-07-18,0.5898,79.910886,-24.082219,0.4249
2018-07-19,0.5843,79.910886,-24.082221,0.1222
2018-07-20,0.5638,79.910884,-24.082219,0.1292
2018-07-21,0.5598,79.910884,-24.082221,0.0817
2018-07-22,0.5504,79.910887,-24.082219,0.175
2018-07-23,0.5155,79.910888,-24.082204,0.8841
2018-07-24,0.7645,79.910885,-24.082223,0.8924
2018-07-25,0.6435,79.910883,-24.082219,0.9343
2018-07-26,0.5306,79.910887,-24.082223,0.4531
2018-07-27,0.5488,79.910883,-24.082216,0.1092
2018-07-28,0.5213,79.910883,-24.082201,0.1101
2018-07-29,0.5048,79.910884,-24.082208,0.0613
2018-07-30,0.4822,79.910884,-24.082215,0.1439
2018-07-31,0.4491,79.910885,-24.082216,0.2914
2018-08-01,0.4267,79.910886,-24.082203,0.2458
2018-08-02,0.4144,79.910886,-24.082214,0.9364
2018-08-03,0.398,79.910884,-24.082188,0.9695
2018-08-04,0.3924,79.910887,-24.082193,0.6108
2018-08-05,0.4555,79.910886,-24.082215,0.2579
2018-08-06,0.4168,79.910885,-24.082201,0.211
2018-08-07,0.4131,79.910885,-24.0822,0.1567
2018-08-08,0.3906,79.910886,-24.082196,0.2139
2018-08-09,0.4226,79.910886,-24.082205,0.4439
2018-08-10,0.4248,79.910885,-24.082209,0.3292
2018-08-11,0.4449,79.910882,-24.082183,0.2343
2018-08-12,0.4687,79.910884,-24.082188,0.2626
2018-08-13,0.4804,79.910884,-24.082181,0.3256
2018-08-14,0.5064,79.91088,-24.082189,0.5439
2018-08-15,0.4622,79.910883,-24.082189,0.8893
2018-08-16,0.4624,79.910881,-24.082184,0.5421
2018-08-17,0.5118,79.910882,-24.082172,0.2131
2018-08-18,0.4379,79.910882,-24.082166,0.2414
2018-08-19,0.4356,79.910882,-24.082183,0.4176
2018-08-20,0.4237,79.910884,-24.082184,0.3804
2018-08-21,0.3872,79.910882,-24.082176,0.7201
2018-08-22,0.4391,79.910883,-24.082177,0.3776
2018-08-23,0.4393,79.910884,-24.082176,0.7289
2018-08-24,0.4583,79.910885,-24.082185,0.2686
2018-08-25,0.4755,79.910884,-24.082179,0.1669
2018-08-26,0.4525,79.910882,-24.082149,0.405
2018-08-27,0.4894,79.910882,-24.082162,0.242
2019-05-01,0.8016,79.910884,-24.081999,0.205
2019-05-02,0.8002,79.910886,-24.081997,0.2414
2019-05-03,0.8074,79.910886,-24.081994,0.4388
2019-05-04,0.8056,79.910882,-24.081987,0.4392
2019-05-05,0.8061,79.910884,-24.081979,0.4475
2019-05-06,0.8034,79.910883,-24.081987,0.2245
2019-05-07,0.8043,79.910882,-24.081981,0.2234
2019-05-08,0.8004,79.910881,-24.08198,0.2292
2019-05-09,0.7993,79.910883,-24.081988,0.2564
2019-05-10,0.7874,79.910883,-24.081978,0.2635
2019-05-11,0.7984,79.910881,-24.081978,0.4308
2019-05-12,0.8361,79.91088,-24.081983,0.3771
2019-05-13,0.8116,79.910883,-24.082,0.2203
2019-05-14,0.8505,79.91088,-24.081984,0.8821
2019-05-15,0.8175,79.910882,-24.081986,0.5354
2019-05-16,0.8096,79.910884,-24.081974,0.6199
2019-05-17,0.8262,79.910882,-24.081978,0.4767
2019-05-18,0.8105,79.910881,-24.081978,0.2812
2019-05-19,0.8124,79.910882,-24.081972,0.7974
2019-05-20,0.8191,79.910881,-24.081969,0.5357
2019-05-21,0.8007,79.910882,-24.081964,0.3451
2019-05-22,0.7954,79.91088,-24.081972,0.3057
2019-05-23,0.7906,79.910883,-24.081979,0.1983
2019-05-24,0.7882,79.910884,-24.081966,0.1734
2019-05-25,0.8008,79.910884,-24.081966,0.6104
2019-05-26,0.7893,79.910882,-24.081976,0.1657
2019-05-27,0.7826,79.910883,-24.081994,0.2963
2019-05-28,0.7848,79.910884,-24.081987,0.195
2019-05-29,0.8432,79.91088,-24.081979,0.7566
2019-05-30,0.8256,79.910883,-24.081967,0.4617
2019-05-31,0.8425,79.910884,-24.081969,0.7581
2019-06-01,0.8053,79.910883,-24.081962,0.3628
2019-06-02,0.8078,79.910882,-24.081966,0.2496
2019-06-03,0.7908,79.910885,-24.081962,0.1647
2019-06-04,0.781,79.910882,-24.081951,0.1982
2019-06-05,0.7861,79.910882,-24.081962,0.6556
2019-06-06,0.767,79.910883,-24.081954,0.5214
2019-06-07,0.7315,79.910881,-24.081962,0.5061
2019-06-08,0.734,79.910882,-24.081963,0.841
2019-06-09,0.6973,79.910884,-24.081959,0.1741
2019-06-10,0.6939,79.910882,-24.081963,0.1283
2019-06-11,0.6823,79.910883,-24.081965,0.1352
2019-06-12,0.6347,79.910885,-24.081975,0.3818
2019-06-13,0.459,79.910884,-24.08196,0.2054
2019-06-14,0.4072,79.910884,-24.08196,0.1962
2019-06-15,0.4146,79.910883,-24.08195,0.1747
2019-06-16,0.4031,79.910883,-24.081952,0.4303
2019-06-17,0.4119,79.910881,-24.081945,0.3475
2019-06-18,0.4598,79.91088,-24.08195,0.1464
2019-06-19,0.4795,79.910882,-24.081944,0.1239
2019-06-20,0.4336,79.910882,-24.081941,0.1631
2019-06-21,0.4914,79.910879,-24.081935,0.1817
2019-06-22,0.5147,79.910879,-24.081932,0.0891
2019-06-23,0.5427,79.91088,-24.081932,0.655
2019-06-24,0.7531,79.91088,-24.081927,0.8466
2019-06-25,0.4886,79.910881,-24.081938,0.8081
2019-06-26,0.4983,79.910878,-24.081931,0.8425
2019-06-27,0.4452,79.910878,-24.081917,0.8155
2019-06-28,0.4107,79.910882,-24.081936,0.6591
2019-06-29,0.4166,79.91088,-24.081921,0.7121
2019-06-30,0.4716,79.910879,-24.081919,0.7097
2019-07-01,0.4401,79.910878,-24.081907,0.4988
2019-07-02,0.432,79.910877,-24.081902,0.2565
2019-07-03,0.4627,79.910879,-24.081911,0.2765
2019-07-04,0.4712,79.910877,-24.081903,0.325
2019-07-05,0.4538,79.910877,-24.081898,0.2274
2019-07-06,0.4147,79.910877,-24.081905,0.3253
2019-07-07,0.4267,79.910878,-24.0819,0.2588
2019-07-08,0.4549,79.910875,-24.081891,0.1956
2019-07-09,0.4137,79.910872,-24.081891,0.186
2019-07-10,0.4102,79.910874,-24.081897,0.3149
2019-07-11,0.4059,79.910873,-24.081888,0.7086
2019-07-12,0.3702,79.910867,-24.081868,0.2172
2019-07-13,0.2905,79.910859,-24.081792,0.0137
2019-07-14,0.257,79.910858,-24.081795,0.2377
2019-07-15,0.2681,79.910859,-24.081801,0.4948
2019-07-16,0.2921,79.910857,-24.081779,0.4585
2019-07-17,0.3097,79.910856,-24.081801,0.0
2019-07-18,0.295,79.910856,-24.081805,0.2942
2019-07-19,0.2905,79.910856,-24.081802,0.0239
2019-07-20,0.2651,79.910857,-24.081809,0.1434
2019-07-21,0.2641,79.910858,-24.081788,0.1111
2019-07-22,0.2827,79.910857,-24.081804,0.3395
2019-07-23,0.2885,79.910858,-24.081787,0.0341
2019-07-24,0.3056,79.910855,-24.081784,0.2641
2019-07-25,0.3064,79.910857,-24.081779,0.183
2019-07-26,0.2843,79.910856,-24.081791,0.0286
2019-07-27,0.3029,79.910855,-24.081789,0.2486
2019-07-28,0.3357,79.910853,-24.081778,0.6949
2019-07-29,0.2822,79.910854,-24.081791,0.1235
2019-07-30,0.2621,79.910857,-24.081786,0.0147
2019-07-31,0.2623,79.910853,-24.081777,0.0659
2019-08-01,0.2695,79.910855,-24.081782,0.0693
2019-08-02,0.258,79.910851,-24.081783,0.1209
2019-08-03,0.2617,79.910851,-24.081782,0.0247
2019-08-04,0.2962,79.910851,-24.081779,0.0002
2019-08-05,0.2985,79.910852,-24.081772,0.0062
2019-08-06,0.3052,79.910849,-24.081762,0.0555
2019-08-07,0.296,79.91085,-24.08177,0.1656
2019-08-08,0.2759,79.910851,-24.081765,0.8544
2019-08-09,0.278,79.910848,-24.081773,0.2581
2019-08-10,0.2679,79.910848,-24.081771,0.4462
2019-08-11,0.2925,79.910848,-24.081764,0.269
2019-08-12,0.2589,79.910847,-24.08178,0.8039
2019-08-13,0.2583,79.910848,-24.081768,0.186
2019-08-14,0.2581,79.910847,-24.081765,0.6085
2019-08-15,0.2691,79.910848,-24.081773,0.7447
2019-08-16,0.2846,79.910846,-24.081774,0.6451
2019-08-17,0.2743,79.910847,-24.081763,0.6962
2019-08-18,0.2769,79.910845,-24.081763,0.2726
2019-08-19,0.3157,79.910845,-24.081761,0.2921
2019-08-20,0.3333,79.910846,-24.081768,0.0191
2019-08-21,0.3427,79.910845,-24.081766,0.0851
2019-08-22,0.3407,79.910845,-24.08176,0.0425
2019-08-23,0.3393,79.910845,-24.081762,0.0171
2019-08-24,0.3474,79.910843,-24.081763,0.0002
2019-08-25,0.3519,79.910845,-24.081766,0.0093
2019-08-26,0.5219,79.910844,-24.08176,0.5771
2019-08-27,0.5872,79.910845,-24.081766,0.9284
2020-05-01,0.4533,79.910844,-24.081605,0.0
2020-05-02,0.4554,79.910846,-24.081602,0.0058
2020-05-03,0.4515,79.910844,-24.081591,0.0689
2020-05-04,0.4734,79.910844,-24.081595,0.5051
2020-05-05,0.4733,79.910845,-24.081592,0.2829
2020-05-06,0.4719,79.910845,-24.081588,0.3114
2020-05-07,0.4795,79.910843,-24.081598,0.3954
2020-05-08,0.5042,79.910843,-24.08159,0.4658
2020-05-09,0.4811,79.910844,-24.08159,0.1313
2020-05-10,0.5042,79.910846,-24.081588,0.38
2020-05-11,0.4776,79.910845,-24.08159,0.097
2020-05-12,0.5204,79.910844,-24.081591,0.5071
2020-05-13,0.5074,79.910843,-24.081591,0.6466
2020-05-14,0.5261,79.910842,-24.081589,0.4014
2020-05-15,0.5313,79.910845,-24.081591,0.7351
2020-05-16,0.5138,79.910845,-24.081593,0.4578
2020-05-17,0.5269,79.910846,-24.081591,0.6865
2020-05-18,0.5026,79.910844,-24.081586,0.4392
2020-05-19,0.573,79.910845,-24.08159,0.8344
2020-05-20,0.545,79.910845,-24.081596,0.7187
2020-05-21,0.5082,79.910844,-24.081591,0.3109
2020-05-22,0.5363,79.910843,-24.081587,0.7603
2020-05-23,0.5028,79.910843,-24.081584,0.2458
2020-05-24,0.5438,79.910844,-24.081582,0.7112
2020-05-25,0.5955,79.910843,-24.081586,0.9661
2020-05-26,0.6035,79.910845,-24.08158,0.911
2020-05-27,0.5762,79.910842,-24.081582,0.7139
2020-05-28,0.5641,79.910844,-24.081584,0.5365
2020-05-29,0.56,79.910845,-24.081581,0.2765
2020-05-30,0.5574,79.910843,-24.081584,0.4868
2020-05-31,0.5839,79.910844,-24.081584,0.7644
2020-06-01,0.5998,79.910844,-24.081583,0.8532
2020-06-02,0.5674,79.910846,-24.08158,0.4367
2020-06-03,0.525,79.910844,-24.081582,0.1007
2020-06-04,0.547,79.910843,-24.081579,0.5036
2020-06-05,0.5438,79.910843,-24.081575,0.3632
2020-06-06,0.5222,79.910844,-24.081565,0.0679
2020-06-07,0.5109,79.910844,-24.081569,0.3974
2020-06-08,0.521,79.910845,-24.081577,0.4387
2020-06-09,0.5174,79.910844,-24.081579,0.4785
2020-06-10,0.4882,79.910846,-24.081573,0.0536
2020-06-11,0.4414,79.910845,-24.081573,0.1529
2020-06-12,0.6012,79.910841,-24.081557,0.929
2020-06-13,0.4902,79.910844,-24.081564,0.7965
2020-06-14,0.4216,79.910845,-24.081574,0.4845
2020-06-15,0.373,79.910845,-24.081568,0.1899
2020-06-16,0.3529,79.910847,-24.08157,0.2988
2020-06-17,0.369,79.910844,-24.081571,0.292
2020-06-18,0.3702,79.910846,-24.081566,0.0
2020-06-19,0.359,79.910845,-24.08157,0.0
2020-06-20,0.3111,79.910845,-24.081568,0.0004
2020-06-21,0.306,79.910845,-24.081569,0.0
2020-06-22,0.3181,79.910846,-24.081562,0.236
2020-06-23,0.3159,79.910845,-24.081561,0.3938
2020-06-24,0.2972,79.910844,-24.081564,0.7794
2020-06-25,0.2858,79.910845,-24.081558,0.3806
