time,alb_QAS_Lv3,lat_QAS_Lv3,lon_QAS_Lv3,cloud_QAS_Lv3
2022-08-30,0.1579,61.030653,-46.849476,0.2026
2022-08-31,0.1739,61.030653,-46.849476,0.1284
2022-09-01,0.1246,61.030653,-46.849476,0.7021
2022-09-02,0.123,61.030653,-46.849476,1.0
2022-09-03,0.1229,61.030653,-46.849476,0.9955
2022-09-04,0.1298,61.030653,-46.849476,0.6804
2022-09-05,0.1124,61.030653,-46.849476,0.9321
2022-09-06,0.1213,61.030653,-46.849476,0.8847
2022-09-07,0.145,61.030653,-46.849476,0.4642
2022-09-08,0.14,61.030653,-46.849476,0.3431
2022-09-09,0.1373,61.030653,-46.849476,0.2818
2022-09-10,0.1503,61.030653,-46.849476,0.2692
2022-09-11,0.1513,61.030653,-46.849476,0.5414
2022-09-12,0.1509,61.030653,-46.849476,0.6758
2022-09-13,0.1432,61.030653,-46.849476,0.4052
2022-09-14,0.1392,61.030653,-46.849476,0.3672
2022-09-15,0.1231,61.030653,-46.849476,0.9267
2022-09-16,0.1525,61.030653,-46.849476,0.9819
2022-09-17,0.1419,61.030653,-46.849476,0.8898
2022-09-18,0.1032,61.030653,-46.849476,0.7549
2022-09-19,0.1121,61.030653,-46.849476,0.5343
2022-09-20,0.1643,61.030653,-46.849476,0.2064
2022-09-21,0.1657,61.030653,-46.849476,0.2349
2022-09-22,0.1179,61.030653,-46.849476,0.9055
2022-09-23,0.1052,61.030653,-46.849476,1.0
2022-09-24,0.1128,61.030653,-46.849476,0.927
2022-09-25,0.1303,61.030653,-46.849476,0.908
2022-09-26,0.0969,61.030653,-46.849476,1.0
2022-09-27,0.1214,61.030653,-46.849476,1.0
2022-09-28,0.1213,61.030653,-46.849476,0.9782
2022-09-29,0.1242,61.030653,-46.849476,0.8094
2022-09-30,0.1447,61.030653,-46.849476,0.5531
2023-05-01,0.5331,61.030653,-46.849476,0.1084
2023-05-02,0.5267,61.030653,-46.849476,0.1482
2023-05-03,0.5317,61.030653,-46.849476,0.1437
2023-05-04,0.536,61.030653,-46.849476,0.2263
2023-05-05,0.5367,61.030653,-46.849476,0.2117
2023-05-06,0.5247,61.030653,-46.849476,0.3341
2023-05-07,0.5457,61.030653,-46.849476,0.6533
2023-05-08,0.5155,61.030653,-46.849476,0.4969
2023-05-09,0.5487,61.030653,-46.849476,0.73
2023-05-10,0.5482,61.030653,-46.849476,0.6839
2023-05-11,0.4906,61.030653,-46.849476,0.7829
2023-05-12,0.4807,61.030653,-46.849476,0.4131
2023-05-13,0.5171,61.030653,-46.849476,0.6699
2023-05-14,0.6499,61.030653,-46.849476,0.6227
2023-05-15,0.5087,61.030653,-46.849476,0.7081
2023-05-16,0.4081,61.030653,-46.849476,0.7524
2023-05-17,0.4178,61.030653,-46.849476,0.9523
2023-05-18,0.4718,61.030653,-46.849476,0.7869
2023-05-19,0.4021,61.030653,-46.849476,0.7827
2023-05-20,0.6627,61.030653,-46.849476,0.7321
2023-05-21,0.5669,61.030653,-46.849476,0.3897
2023-05-22,0.6947,61.030653,-46.849476,0.9823
2023-05-23,0.7071,61.030653,-46.849476,0.4777
2023-05-24,0.7364,61.030653,-46.849476,0.9376
2023-05-25,0.739,61.030653,-46.849476,0.9709
2023-05-26,0.6051,61.030653,-46.849476,0.3935
2023-05-27,0.5867,61.030653,-46.849476,0.3603
2023-05-28,0.592,61.030653,-46.849476,0.7157
2023-05-29,0.5359,61.030653,-46.849476,0.8847
2023-05-30,0.4588,61.030653,-46.849476,0.8655
2023-05-31,0.3153,61.030653,-46.849476,0.9951
2023-06-01,0.2783,61.030653,-46.849476,0.8791
2023-06-02,0.2065,61.030653,-46.849476,0.9525
2023-06-03,0.2092,61.030653,-46.849476,0.9424
2023-06-04,0.2628,61.030653,-46.849476,0.9667
2023-06-05,0.234,61.030653,-46.849476,0.7041
2023-06-06,0.2154,61.030653,-46.849476,0.9321
2023-06-07,0.1967,61.030653,-46.849476,0.364
2023-06-08,0.1745,61.030653,-46.849476,0.1846
2023-06-09,0.1504,61.030653,-46.849476,0.2284
2023-06-10,0.1521,61.030653,-46.849476,0.2749
2023-06-11,0.1459,61.030653,-46.849476,0.1858
2023-06-12,0.1475,61.030653,-46.849476,0.4813
2023-06-13,0.1192,61.030653,-46.849476,0.9923
2023-06-14,0.1261,61.030653,-46.849476,0.9688
2023-06-15,0.1477,61.030653,-46.849476,0.8657
2023-06-16,0.1486,61.030653,-46.849476,0.4115
2023-06-17,0.1488,61.030653,-46.849476,0.1625
2023-06-18,0.1475,61.030653,-46.849476,0.1705
2023-06-19,0.1623,61.030653,-46.849476,0.2574
2023-06-20,0.1554,61.030653,-46.849476,0.6216
2023-06-21,0.1221,61.030653,-46.849476,0.9322
2023-06-22,0.1244,61.030653,-46.849476,0.9182
2023-06-23,0.1384,61.030653,-46.849476,0.4296
2023-06-24,0.1423,61.030653,-46.849476,0.1649
2023-06-25,0.1394,61.030653,-46.849476,0.1609
2023-06-26,0.1311,61.030653,-46.849476,0.4354
2023-06-27,0.1262,61.030653,-46.849476,0.7006
2023-06-28,0.127,61.030653,-46.849476,0.7607
2023-06-29,0.1202,61.030653,-46.849476,0.6303
2023-06-30,0.1335,61.030653,-46.849476,0.1424
2023-07-01,0.1266,61.030653,-46.849476,0.3794
2023-07-02,0.1254,61.030653,-46.849476,0.7183
2023-07-03,0.1245,61.030653,-46.849476,0.7877
2023-07-04,0.1177,61.030653,-46.849476,0.659
2023-07-05,0.119,61.030653,-46.849476,0.379
2023-07-06,0.1093,61.030653,-46.849476,0.518
2023-07-07,0.1137,61.030653,-46.849476,0.3491
2023-07-08,0.1195,61.030653,-46.849476,0.247
2023-07-09,0.1127,61.030653,-46.849476,0.6954
2023-07-10,0.1068,61.030653,-46.849476,0.7323
2023-07-11,0.1035,61.030653,-46.849476,0.7156
2023-07-12,0.1067,61.030653,-46.849476,0.4735
2023-07-13,0.1125,61.030653,-46.849476,0.709
2023-07-14,0.1155,61.030653,-46.849476,0.941
2023-07-15,0.1145,61.030653,-46.849476,0.7535
2023-07-16,0.1219,61.030653,-46.849476,0.9873
2023-07-17,0.1089,61.030653,-46.849476,0.917
2023-07-18,0.1261,61.030653,-46.849476,0.8111
2023-07-19,0.0928,61.030653,-46.849476,1.0
2023-07-20,0.1167,61.030653,-46.849476,0.9923
2023-07-21,0.1073,61.030653,-46.849476,0.7302
2023-07-22,0.1047,61.030653,-46.849476,0.631
2023-07-23,0.1083,61.030653,-46.849476,0.6025
2023-07-24,0.1137,61.030653,-46.849476,0.5119
2023-07-25,0.1269,61.030653,-46.849476,0.8288
2023-07-26,0.1273,61.030653,-46.849476,0.4587
2023-07-27,0.1206,61.030653,-46.849476,0.7482
2023-07-28,0.126,61.030653,-46.849476,0.529
2023-07-29,0.1164,61.030653,-46.849476,0.3642
2023-07-30,0.1233,61.030653,-46.849476,0.2694
2023-07-31,0.1414,61.030653,-46.849476,0.3154
2023-08-01,0.137,61.030653,-46.849476,0.2117
2023-08-02,0.1168,61.030653,-46.849476,0.2257
2023-08-03,0.115,61.030653,-46.849476,0.7149
2023-08-04,0.1245,61.030653,-46.849476,0.4589
2023-08-05,0.1259,61.030653,-46.849476,0.3494
2023-08-06,0.1338,61.030653,-46.849476,0.2505
2023-08-07,0.1377,61.030653,-46.849476,0.19
2023-08-08,0.1408,61.030653,-46.849476,0.4907
2023-08-09,0.1207,61.030653,-46.849476,0.2608
2023-08-10,0.1252,61.030653,-46.849476,0.2103
2023-08-11,0.1258,61.030653,-46.849476,0.2676
2023-08-12,0.1172,61.030653,-46.849476,0.5227
2023-08-13,0.111,61.030653,-46.849476,0.7982
2023-08-14,0.1215,61.030653,-46.849476,0.6796
2023-08-15,0.1339,61.030653,-46.849476,0.2853
2023-08-16,0.1412,61.030653,-46.849476,0.3769
2023-08-17,0.1244,61.030653,-46.849476,0.4289
2023-08-18,0.1201,61.030653,-46.849476,0.6934
2023-08-19,0.1323,61.030653,-46.849476,0.2217
2023-08-20,0.1142,61.030653,-46.849476,0.4069
2023-08-21,0.1127,61.030653,-46.849476,0.4232
2023-08-22,0.146,61.030653,-46.849476,0.9997
2023-08-23,0.1376,61.030653,-46.849476,0.9932
2023-08-24,0.0952,61.030653,-46.849476,0.7768
2023-08-25,0.107,61.030653,-46.849476,0.5412
2023-08-26,0.0998,61.030653,-46.849476,0.8511
2023-08-27,0.1154,61.030653,-46.849476,0.3479
2023-08-28,0.1182,61.030653,-46.849476,0.309
2023-08-29,0.1093,61.030653,-46.849476,0.9154
2023-08-30,0.0963,61.030653,-46.849476,0.6838
2023-08-31,0.1102,61.030653,-46.849476,0.9053
2023-09-01,0.1319,61.030664,-46.849444,0.8182
2023-09-02,0.1473,61.030663,-46.849466,0.0878
2023-09-03,0.1527,61.030666,-46.849464,0.0173
2023-09-04,0.142,61.030667,-46.849467,0.777
2023-09-05,0.0867,61.030665,-46.849461,0.9884
2023-09-06,0.1045,61.030662,-46.849462,0.7939
2023-09-07,0.1127,61.030657,-46.849472,0.5405
2023-09-08,0.1419,61.03066,-46.84947,0.0597
2023-09-09,0.1304,61.03066,-46.849475,0.0355
2023-09-10,0.1314,61.030663,-46.849475,0.2267
2023-09-11,0.1361,61.030655,-46.849476,0.4723
2023-09-12,0.1537,61.030669,-46.849473,0.3318
2023-09-13,0.1597,61.030657,-46.849472,0.1209
2023-09-14,0.1201,61.030655,-46.849466,0.9183
2023-09-15,0.1168,61.03066,-46.849467,0.9823
2023-09-16,0.1458,61.030656,-46.849469,0.2982
2023-09-17,0.1706,61.030652,-46.849472,0.0079
2023-09-18,0.167,61.030657,-46.849475,0.0514
2023-09-19,0.1605,61.030663,-46.849476,0.1567
2023-09-20,0.1273,61.030648,-46.849472,0.5374
2023-09-21,0.1307,61.030658,-46.849476,0.5322
2023-09-22,0.1393,61.030656,-46.849476,0.5714
2023-09-23,0.1232,61.03066,-46.849479,0.4139
2023-09-24,0.1514,61.030654,-46.849477,0.0624
2023-09-25,0.1276,61.030654,-46.849475,0.3738
2023-09-26,0.1621,61.030652,-46.849472,0.0588
2023-09-27,0.6055,61.030656,-46.849468,0.7127
2023-09-28,0.5613,61.030656,-46.849468,0.5435
2023-09-29,0.5685,61.03065,-46.849478,0.2007
2023-09-30,0.5192,61.030658,-46.849473,0.5126
