time,alb_SDL,lat_SDL,lon_SDL,cloud_SDL
2022-06-23,0.7043,66.000165,-44.5027,0.199
2022-06-24,0.7902,66.000159,-44.502709,0.5224
2022-06-25,0.7616,66.000159,-44.502715,0.4228
2022-06-26,0.7971,66.000161,-44.502713,0.7243
2022-06-27,0.8377,66.000156,-44.502704,0.72
2022-06-28,0.7801,66.000156,-44.502708,0.6808
2022-06-29,0.8796,66.000155,-44.50271,0.997
2022-06-30,0.8189,66.000156,-44.502706,0.7292
2022-07-01,0.8831,66.000157,-44.502704,0.8743
2022-07-02,0.862,66.000157,-44.502704,0.914
2022-07-03,0.7764,66.000157,-44.502708,0.5818
2022-07-04,0.8278,66.000157,-44.502706,0.7362
2022-07-05,0.8344,66.000158,-44.502704,0.8232
2022-07-06,0.8543,66.000154,-44.50271,0.6836
2022-07-07,0.8481,66.000159,-44.502707,0.9153
2022-07-08,0.7588,66.000158,-44.50271,0.5308
2022-07-09,0.9127,66.000153,-44.502706,0.7953
2022-07-10,0.8138,66.000159,-44.502708,0.757
2022-07-11,0.8056,66.000154,-44.502709,0.8779
2022-07-12,0.8549,66.000154,-44.502704,0.8472
2022-07-13,0.8251,66.000154,-44.502707,0.7957
2022-07-14,0.7544,66.000156,-44.50271,0.405
2022-07-15,0.8366,66.000157,-44.502712,0.9115
2022-07-16,0.8109,66.000152,-44.502711,0.7123
2022-07-17,0.806,66.000155,-44.50271,0.7161
2022-07-18,0.8067,66.000155,-44.502707,0.7985
2022-07-19,0.8817,66.000153,-44.502708,0.832
2022-07-20,0.8251,66.000152,-44.50271,0.811
2022-07-21,0.818,66.000155,-44.502719,0.7398
2022-07-22,0.7218,66.000159,-44.502718,0.1321
2022-07-23,0.7451,66.000158,-44.502708,0.3932
2022-07-24,0.7461,66.000158,-44.502712,0.5498
2022-07-25,0.8232,66.000155,-44.502709,0.7325
2022-07-26,0.8293,66.000156,-44.502711,0.8164
2022-07-27,0.8226,66.000162,-44.502716,0.8134
2022-07-28,0.7513,66.000159,-44.50271,0.6312
2022-07-29,0.7544,66.00016,-44.502712,0.7018
2022-07-30,0.8944,66.00016,-44.502717,0.9475
2022-07-31,0.8032,66.000157,-44.502712,0.5571
2022-08-01,0.7722,66.00016,-44.502714,0.2403
2022-08-02,0.8421,66.000154,-44.502716,0.8354
2022-08-03,0.7699,66.000158,-44.502713,0.5945
2022-08-04,0.8693,66.000159,-44.502715,0.9681
2022-08-05,0.8434,66.000159,-44.502717,0.8489
2022-08-06,0.87,66.000157,-44.502716,0.8504
2022-08-07,0.7839,66.00016,-44.502719,0.6516
2022-08-08,0.7828,66.000152,-44.502719,0.8552
2022-08-09,0.8558,66.000157,-44.502724,0.8459
2022-08-10,0.8936,66.000155,-44.502721,0.8886
2022-08-11,0.88,66.000161,-44.502723,0.9206
2022-08-12,0.8268,66.000156,-44.502721,0.7478
2022-08-13,0.726,66.000161,-44.502719,0.4947
2022-08-14,0.8256,66.000158,-44.502729,0.8556
2022-08-15,0.8659,66.00016,-44.502724,0.8159
2022-08-16,0.8573,66.000155,-44.502723,0.9284
2022-08-17,0.8439,66.000158,-44.502722,0.7695
2022-08-18,0.7642,66.000159,-44.50272,0.605
2022-08-19,0.6939,66.000159,-44.502723,0.4671
2022-08-20,0.8349,66.000155,-44.502723,0.8621
2022-08-21,0.7513,66.000161,-44.502722,0.6758
2022-08-22,0.8368,66.000158,-44.502723,0.8832
2022-08-23,0.8487,66.000152,-44.502721,0.6887
2022-08-24,0.7454,66.000158,-44.502718,0.4339
2022-08-25,0.8103,66.000157,-44.502722,0.6006
2022-08-26,0.8413,66.000159,-44.502717,0.8272
2022-08-27,0.8318,66.000163,-44.502727,0.83
2022-08-28,0.776,66.000158,-44.502725,0.7987
2022-08-29,0.7942,66.000161,-44.50272,0.7391
2022-08-30,0.8623,66.000163,-44.50272,0.8736
2022-08-31,0.8132,66.000159,-44.502722,0.8461
2022-09-01,0.7151,66.000157,-44.502722,0.6267
2022-09-02,0.8708,66.000152,-44.502722,0.9981
2022-09-03,0.8153,66.000151,-44.502736,0.9246
2022-09-04,0.8534,66.000155,-44.502726,0.8914
2022-09-05,0.7264,66.000157,-44.50273,0.4244
2022-09-06,0.7575,66.000155,-44.502733,0.6302
2022-09-07,0.9629,66.000152,-44.502722,0.8011
2022-09-08,0.9837,66.000156,-44.502727,0.672
2022-09-09,0.8187,66.000155,-44.502729,0.9209
2022-09-10,0.7335,66.000157,-44.502722,0.5865
2022-09-11,0.8765,66.000154,-44.502727,0.9068
2022-09-12,0.8704,66.000155,-44.502718,0.9352
2022-09-13,0.6839,66.000154,-44.502723,0.704
2022-09-14,0.878,66.000153,-44.502725,0.9339
2022-09-15,0.9125,66.000158,-44.50273,0.9034
2022-09-17,0.8697,66.000157,-44.502726,0.9543
2022-09-18,0.8454,66.00016,-44.502733,0.7286
2022-09-19,0.866,66.000165,-44.502736,0.6865
2022-09-20,0.9064,66.000159,-44.502736,0.9043
2022-09-21,0.893,66.000156,-44.50274,0.8534
2022-09-22,0.8685,66.000157,-44.502731,0.9211
2022-09-23,0.8408,66.000157,-44.502736,0.8948
2022-09-24,0.8489,66.000152,-44.502746,0.9148
2022-09-25,0.7659,66.000155,-44.502738,0.6852
2022-09-26,0.8885,66.000157,-44.502738,0.898
2022-09-27,0.8704,66.000169,-44.50274,0.877
2022-09-28,0.9221,66.000158,-44.502734,0.9026
2022-09-29,0.6056,66.000162,-44.502734,0.7883
2022-09-30,0.9379,66.000166,-44.502741,0.9882
2023-06-16,0.8473,66.000168,-44.502626,0.7137
2023-06-17,0.77,66.000153,-44.502626,0.3344
2023-06-18,0.7463,66.000142,-44.502644,0.4485
2023-06-19,0.8625,66.000148,-44.502617,0.907
2023-06-20,0.8578,66.000156,-44.502637,0.7009
2023-06-21,0.8918,66.000152,-44.502651,0.916
2023-06-22,0.8467,66.000154,-44.502646,0.7942
2023-06-23,0.8319,66.000159,-44.502633,0.3666
2023-06-24,0.8439,66.00015,-44.502625,0.6517
2023-06-25,0.8767,66.000148,-44.50264,0.8559
2023-06-26,0.878,66.000152,-44.502627,0.703
2023-06-27,0.8736,66.000155,-44.50265,0.874
2023-06-28,0.8668,66.000158,-44.502632,0.6853
2023-06-29,0.8544,66.000154,-44.502644,0.7516
2023-06-30,0.8516,66.000152,-44.502626,0.7186
2023-07-01,0.8523,66.000149,-44.502632,0.7259
2023-07-02,0.8359,66.000152,-44.502616,0.7372
2023-07-03,0.8386,66.000151,-44.502662,0.2866
2023-07-04,0.828,66.000149,-44.502647,0.5034
2023-07-05,0.8731,66.000151,-44.502641,0.9404
2023-07-06,0.8719,66.000161,-44.502634,0.9876
2023-07-07,0.7023,66.000162,-44.502627,0.5996
2023-07-08,0.7171,66.000161,-44.502621,0.5293
2023-07-09,0.7187,66.00016,-44.502626,0.3272
2023-07-10,0.7067,66.000166,-44.502635,0.611
2023-07-11,0.801,66.000171,-44.502622,0.8741
2023-07-12,0.7328,66.000172,-44.502631,0.7158
2023-07-13,0.7491,66.00017,-44.502616,0.518
2023-07-14,0.774,66.00017,-44.502623,0.9203
2023-07-15,0.8081,66.00017,-44.502626,0.9051
2023-07-16,0.8186,66.000174,-44.502628,0.9134
2023-07-17,0.7691,66.000169,-44.502632,0.9333
2023-07-18,0.7734,66.000168,-44.502626,0.9923
2023-07-19,0.7679,66.000169,-44.502622,0.9244
2023-07-20,0.7646,66.000173,-44.502627,0.9199
2023-07-21,0.8332,66.000179,-44.502625,0.9521
2023-07-22,0.7973,66.000172,-44.502613,0.7299
2023-07-23,0.8134,66.00017,-44.502613,0.8255
2023-07-24,0.8137,66.000167,-44.502612,0.7972
2023-07-25,0.8301,66.000175,-44.502625,0.6375
2023-07-26,0.8043,66.00017,-44.502619,0.6841
2023-07-27,0.8043,66.000168,-44.502612,0.5383
2023-07-28,0.8152,66.000174,-44.502621,0.7115
2023-07-29,0.8366,66.000157,-44.5026,0.8256
2023-07-30,0.8562,66.00017,-44.502612,0.8878
2023-07-31,0.8646,66.000163,-44.502609,0.7138
2023-08-01,0.8645,66.000168,-44.502606,0.835
2023-08-02,0.8721,66.000166,-44.502621,0.7917
2023-08-03,0.8767,66.000163,-44.502616,0.8411
2023-08-04,0.8324,66.000171,-44.502618,0.701
2023-08-05,0.8491,66.000157,-44.502614,0.7446
2023-08-06,0.7868,66.000157,-44.502605,0.3179
2023-08-07,0.8361,66.000164,-44.50263,0.2472
2023-08-08,0.8342,66.000149,-44.502628,0.42
2023-08-09,0.8412,66.000147,-44.502631,0.8711
2023-08-10,0.9382,66.000144,-44.502628,0.7704
2023-08-11,0.8988,66.000153,-44.502615,0.7781
2023-08-12,0.823,66.000148,-44.502644,0.2078
2023-08-13,0.8338,66.000147,-44.502626,0.7293
2023-08-14,0.8508,66.000154,-44.502615,0.7122
2023-08-15,0.837,66.000154,-44.502636,0.4832
2023-08-16,0.7892,66.000157,-44.502612,0.5995
2023-08-17,0.7967,66.000136,-44.502609,0.4775
2023-08-18,0.7558,66.000138,-44.502627,0.3001
2023-08-19,0.8179,66.000142,-44.502629,0.5891
2023-08-20,0.8413,66.00016,-44.502612,0.9806
2023-08-21,0.7409,66.000153,-44.502618,0.39
2023-08-22,0.7561,66.000152,-44.502629,0.166
2023-08-23,0.789,66.000158,-44.502621,0.5543
2023-08-24,0.8809,66.000143,-44.502627,0.9148
2023-08-26,0.8832,66.000153,-44.502648,0.7268
2023-08-27,0.8287,66.000151,-44.502625,0.718
2023-08-28,0.8797,66.000147,-44.502629,0.9082
2023-08-29,0.8519,66.000161,-44.502632,0.4819
2023-08-30,0.8622,66.000154,-44.502646,0.8384
2023-08-31,0.8502,66.00016,-44.502638,0.7152
2023-09-01,0.8736,66.000155,-44.502623,0.8785
2023-09-02,0.8853,66.000149,-44.502616,0.9523
2023-09-03,0.8747,66.000162,-44.502614,0.6908
2023-09-04,0.8975,66.000156,-44.502621,0.8905
2023-09-05,0.8574,66.000159,-44.502627,0.7909
2023-09-06,0.827,66.000139,-44.502634,0.8884
2023-09-07,0.9277,66.000144,-44.502627,0.8968
2023-09-08,0.8946,66.00015,-44.502616,0.8293
2023-09-09,0.8727,66.000161,-44.502626,0.3544
2023-09-10,0.8545,66.000149,-44.502648,0.3339
2023-09-11,0.8732,66.000149,-44.502641,0.3799
2023-09-12,0.8536,66.000156,-44.502629,0.5583
2023-09-13,0.8622,66.00016,-44.502626,0.6882
2023-09-14,0.8756,66.000151,-44.502636,0.741
2023-09-15,0.8699,66.000156,-44.502631,0.8063
2023-09-16,0.8727,66.000155,-44.502643,0.8924
2023-09-17,0.8652,66.000139,-44.502625,0.9074
2023-09-18,0.9072,66.000161,-44.502638,0.3599
2023-09-19,0.8866,66.000154,-44.502637,0.594
2023-09-20,0.8711,66.000149,-44.502632,0.6426
2023-09-22,0.7403,66.000158,-44.502633,0.8905
2023-09-23,0.831,66.000162,-44.502641,0.4934
2023-09-24,0.9501,66.000154,-44.502638,0.2159
2023-09-25,0.8913,66.000154,-44.502661,0.8038
2023-09-26,0.9044,66.000151,-44.50264,0.8847
