time,alb_ZAK_Lv3,lat_ZAK_Lv3,lon_ZAK_Lv3,cloud_ZAK_Lv3
2022-05-18,0.837,74.62416,-21.374457,0.2428
2022-06-04,0.6095,74.624193,-21.374432,0.0724
2023-05-01,0.8078,74.624138,-21.374333,0.205
2023-05-02,0.8092,74.624143,-21.374346,0.1627
2023-05-03,0.8059,74.624141,-21.374355,0.1148
2023-05-04,0.8023,74.624144,-21.374357,0.0954
2023-05-05,0.8036,74.624146,-21.37436,0.256
2023-05-06,0.8002,74.624147,-21.374366,0.2761
2023-05-07,0.7896,74.624144,-21.374353,0.4282
2023-05-08,0.7789,74.624135,-21.374342,0.786
2023-05-09,0.779,74.624132,-21.374325,0.7145
2023-05-10,0.8022,74.624148,-21.374351,0.3817
2023-05-11,0.8432,74.624144,-21.374322,0.6873
2023-05-12,0.8822,74.624144,-21.374341,0.7959
2023-05-13,0.8259,74.624142,-21.374333,0.2041
2023-05-14,0.8184,74.624142,-21.374336,0.2835
2023-05-15,0.8096,74.624145,-21.374342,0.3301
2023-05-16,0.796,74.624138,-21.374345,0.1046
2023-05-17,0.7972,74.624138,-21.374353,0.0813
2023-05-18,0.7934,74.624138,-21.374356,0.0957
2023-05-19,0.7978,74.624143,-21.374361,0.2929
2023-05-20,0.8685,74.624148,-21.374357,0.9361
2023-05-21,0.8891,74.62415,-21.374366,0.8654
2023-05-22,0.8296,74.624143,-21.374361,0.357
2023-05-23,0.81,74.624143,-21.374356,0.2324
2023-05-24,0.8395,74.624142,-21.374359,0.4232
2023-05-25,0.7946,74.624144,-21.37435,0.1491
2023-05-26,0.7922,74.62414,-21.374339,0.0652
2023-05-27,0.786,74.624143,-21.374349,0.0628
2023-05-28,0.7875,74.624144,-21.374337,0.118
2023-05-29,0.8231,74.624148,-21.374357,0.6278
2023-05-30,0.7828,74.624147,-21.374346,0.0412
2023-05-31,0.783,74.624143,-21.374355,0.1377
2023-06-01,0.8564,74.624145,-21.374343,0.6877
2023-06-02,0.8068,74.624144,-21.37436,0.5481
2023-06-03,0.8783,74.624146,-21.374346,0.8913
2023-06-04,0.8203,74.62415,-21.374363,0.4705
2023-06-05,0.7812,74.624146,-21.374363,0.1515
2023-06-06,0.7577,74.62414,-21.374353,0.0862
2023-06-07,0.7522,74.624144,-21.374352,0.0796
2023-06-08,0.7539,74.624141,-21.374348,0.1729
2023-06-09,0.7566,74.624145,-21.374352,0.5795
2023-06-10,0.8665,74.624145,-21.374344,0.7874
2023-06-11,0.8167,74.624151,-21.37436,0.5946
2023-06-12,0.7552,74.624148,-21.374351,0.1039
2023-06-13,0.7169,74.624146,-21.374371,0.046
2023-06-14,0.7154,74.624145,-21.374349,0.2636
2023-06-15,0.7024,74.624144,-21.374372,0.2198
2023-06-16,0.7086,74.62414,-21.374371,0.4606
2023-06-17,0.7897,74.624141,-21.374354,0.9045
2023-06-18,0.7181,74.624145,-21.374351,0.7321
2023-06-19,0.6927,74.624143,-21.374352,0.428
2023-06-20,0.7388,74.624145,-21.374368,0.7732
2023-06-21,0.8049,74.624144,-21.374352,0.9427
2023-06-22,0.6456,74.624144,-21.374343,0.7234
2023-06-23,0.5887,74.624144,-21.374363,0.0978
2023-06-24,0.5126,74.624143,-21.374352,0.1667
2023-06-25,0.4856,74.624143,-21.374365,0.1298
2023-06-26,0.4624,74.624144,-21.374357,0.1647
2023-06-27,0.3784,74.62414,-21.374375,0.2971
2023-06-28,0.3511,74.624139,-21.374363,0.1753
2023-06-29,0.3071,74.624143,-21.374362,0.7458
2023-06-30,0.3318,74.62414,-21.374355,0.8113
2023-07-01,0.3148,74.624141,-21.374364,0.2682
2023-07-02,0.3217,74.624138,-21.374366,0.0742
2023-07-03,0.292,74.62414,-21.374358,0.0793
2023-07-04,0.319,74.624138,-21.374359,0.1084
2023-07-05,0.3555,74.624139,-21.37437,0.1758
2023-07-06,0.3634,74.624134,-21.374366,0.1507
2023-07-07,0.3523,74.624132,-21.374357,0.1239
2023-07-08,0.3188,74.624129,-21.374355,0.7397
2023-07-09,0.3199,74.624132,-21.37435,0.8096
2023-07-10,0.2995,74.624132,-21.374367,0.5234
2023-07-11,0.3492,74.624125,-21.37437,0.4156
2023-07-12,0.3075,74.624124,-21.374361,0.7874
2023-07-13,0.2956,74.62413,-21.374365,0.2916
2023-07-14,0.3284,74.624121,-21.374385,0.1712
2023-07-15,0.321,74.624128,-21.374396,0.3367
2023-07-16,0.3289,74.624126,-21.374374,0.1263
2023-07-17,0.2696,74.624126,-21.374385,0.8487
2023-07-18,0.3023,74.624127,-21.374373,0.7874
2023-07-19,0.3241,74.624123,-21.374388,0.3177
2023-07-20,0.3333,74.624125,-21.374387,0.2199
2023-07-21,0.3391,74.624128,-21.374382,0.1297
2023-07-22,0.3507,74.624132,-21.37438,0.1072
2023-07-23,0.33,74.624122,-21.374363,0.1079
2023-07-24,0.2829,74.624122,-21.374357,0.3144
2023-07-25,0.2641,74.624118,-21.374379,0.6164
2023-07-26,0.271,74.624117,-21.374394,0.262
2023-07-27,0.2383,74.62411,-21.374397,0.6718
2023-07-28,0.2717,74.624115,-21.374387,0.4283
2023-07-29,0.2753,74.624119,-21.374378,0.1533
2023-07-30,0.2446,74.624116,-21.374391,0.6634
2023-07-31,0.2645,74.624113,-21.374386,0.2549
2023-08-01,0.2649,74.624117,-21.374389,0.2053
2023-08-02,0.275,74.624118,-21.374402,0.1405
2023-08-03,0.2904,74.624122,-21.374389,0.1217
2023-08-04,0.2796,74.624119,-21.374396,0.1391
2023-08-05,0.266,74.624117,-21.374379,0.0901
2023-08-06,0.2307,74.624119,-21.374382,0.4447
2023-08-07,0.261,74.624118,-21.374368,0.1888
2023-08-08,0.2567,74.62412,-21.37438,0.1309
2023-08-09,0.214,74.624121,-21.374368,0.5811
2023-08-10,0.256,74.624115,-21.374364,0.9267
2023-08-11,0.2637,74.62412,-21.374367,0.3329
2023-08-12,0.2322,74.624116,-21.374368,0.2909
2023-08-13,0.2228,74.624116,-21.37438,0.5042
2023-08-14,0.2602,74.624123,-21.374376,0.627
2023-08-15,0.2883,74.624118,-21.374378,0.5307
2023-08-16,0.2524,74.624117,-21.374381,0.3839
2023-08-17,0.2673,74.62412,-21.374382,0.1579
2023-08-18,0.2804,74.624127,-21.374402,0.1272
2023-08-19,0.265,74.62412,-21.374381,0.6193
2023-08-20,0.2382,74.624121,-21.374371,0.6151
2023-08-21,0.2712,74.624117,-21.374384,0.1749
2023-08-22,0.2249,74.624116,-21.374385,0.2965
2023-08-23,0.2465,74.624119,-21.374379,0.2918
2023-08-24,0.2517,74.624119,-21.374372,0.1734
2023-08-25,0.2468,74.624112,-21.374342,0.496
2023-08-26,0.2605,74.624115,-21.374363,0.5478
2023-08-27,0.3166,74.624109,-21.374362,0.9017
2023-08-28,0.2746,74.624114,-21.374378,0.9038
2023-08-29,0.2876,74.624116,-21.374377,0.3228
2023-08-30,0.3117,74.624116,-21.374384,0.0545
2023-08-31,0.3243,74.624114,-21.374358,0.1265
2023-09-01,0.3575,74.624117,-21.374353,0.4535
2023-09-02,0.3947,74.624117,-21.374365,0.9197
2023-09-03,0.7686,74.624119,-21.374355,0.9415
2023-09-04,0.5427,74.624112,-21.374355,0.6551
2023-09-05,0.4644,74.624112,-21.374372,0.1838
2023-09-06,0.4882,74.624111,-21.374378,0.5082
2023-09-07,0.4749,74.624111,-21.374369,0.7536
2023-09-08,0.4682,74.624112,-21.374378,0.4207
2023-09-09,0.4746,74.624122,-21.374385,0.1675
2023-09-10,0.4616,74.624119,-21.374389,0.5116
2023-09-11,0.4242,74.624122,-21.374386,0.222
